ID,Description,k,K,GeneRatio,BgRatio,Ek,enr_ratio,pvalue,p.adjust,Count,n_in_table,N_in_table,RichFactor,FoldEnrichment,zScore,qvalue,geneID
WP4016,DNA IR damage and cellular response via ATR,19,81,19/651,81/7052,7.477453204764606,2.540972103696118,1.0574424606367484e-4,0.004465202335670704,19,651,7052,0.2345679012345679,2.540972103696118,4.448173135024728,0.004247087876893531,BRIP1/CDC25C/CDC45/CDK1/CHEK1/CHEK2/CLSPN/FANCD2/FEN1/FOXM1/MCM2/MDM2/MRE11/MSH2/NBN/PLK1/POLN/PPM1D/RAD51
WP1971,Integrated cancer pathway,13,44,13/651,44/7052,4.061826432217811,3.2005306521435553,1.0962933185416039e-4,0.004465202335670704,13,651,7052,0.29545454545454547,3.2005306521435553,4.669266392042264,0.004247087876893531,BAX/BBC3/BLM/CDC25B/CDK1/CDKN1A/CHEK1/CHEK2/MDM2/MRE11/MSH2/NOXA1/PLK1
WP45,G1 to S cell cycle control,16,62,16/651,62/7052,5.723482699943278,2.795500718497597,1.1077916190646139e-4,0.004465202335670704,16,651,7052,0.25806451612903225,2.7955007184975966,4.5282956937154095,0.004247087876893531,CCNB1/CCNE2/CCNG2/CDC45/CDK1/CDKN1A/CDKN2C/GADD45A/MCM2/MCM3/MCM5/MCM6/MCM7/MDM2/POLE2/PRIM1
WP3391,Senescence associated secretory phenotype SASP,18,75,18/651,75/7052,6.9235677821894495,2.599815668202765,1.1673731596524715e-4,0.004465202335670704,18,651,7052,0.24,2.599815668202765,4.441791350633214,0.004247087876893531,CCNA2/CDKN1A/CDKN2C/H2AC18/H2AC19/H2AC6/H2AZ1/H2BC11/H2BC12/H2BC21/H2BC4/H2BC8/H3C4/H4C14/H4C15/H4C8/IL6/UBE2C
WP4197,Immune response to tuberculosis,8,20,8/651,20/7052,1.8462847419171866,4.333026113671275,2.3280458308823427e-4,0.00794342199385081,8,651,7052,0.4,4.333026113671275,4.759991981423779,0.0075554048204325725,IFIT1/IFITM1/IRF1/IRF9/JAK2/MX1/SOCS1/TAP1
WP5117,Cohesin complex Cornelia de Lange syndrome,10,33,10/651,33/7052,3.046369824163358,3.282595540660057,5.443039218884875e-4,0.017532315799776543,10,651,7052,0.30303030303030304,3.282595540660057,4.191218006110243,0.01667590408888275,AURKB/CDCA5/CDK1/ESPL1/PDS5A/PLK1/PPP2R5B/PTTG1/SGO1/SGO2
WP455,GPCRs class A rhodopsin like,19,92,19/651,92/7052,8.49290981281906,2.2371602217324513,6.062813105136389e-4,0.01855220810171735,19,651,7052,0.20652173913043478,2.2371602217324518,3.808966733175528,0.017645977090212754,ADRA2A/ADRB1/ADRB2/ADRB3/BDKRB2/CHRM3/CXCR4/DRD1/DRD4/EDNRB/GPR173/GPR27/GPR87/HTR1E/MCHR1/OPRD1/OXTR/P2RY10/SSTR5
WP5055,Burn wound healing,14,60,14/651,60/7052,5.53885422575156,2.5275985663082436,8.891569717540471e-4,0.024244274302359117,14,651,7052,0.23333333333333334,2.5275985663082436,3.7894492529071084,0.023059999465436173,ACHE/BAX/CXCR4/DCN/HMGB1/ICAM1/IL6/LIN28A/MMP9/NOX4/S100A9/SCEL/SNAI2/TGFB3
WP5491,Transcriptional regulation of memory B cell differentiation,10,35,10/651,35/7052,3.2309982983550767,3.0950186526223393,9.111410277030387e-4,0.024244274302359117,10,651,7052,0.2857142857142857,3.095018652622339,3.9622157128778794,0.023059999465436173,CD40/CDKN1A/EZH2/ICOSLG/IL6/IRF8/POU2F2/SPIB/TLR1/TLR6
WP3982,miRNA regulation of p53 pathway in prostate cancer,8,24,8/651,24/7052,2.2155416903006238,3.610855094726063,9.739382450545406e-4,0.024835425248890784,8,651,7052,0.3333333333333333,3.610855094726062,4.08568096407705,0.02362227410154215,BAX/BBC3/CHEK2/DDB2/EI24/MDM2/TNFRSF10B/ZMAT3
